Config,image,energy (eV),error (eV/A),frozen
Clean,1,-125414.4593139,0.114939,T
Clean,2,-125413.0694147,0.043792,F
Clean,3,-125411.8539632,0.037290,F
Clean,4,-125411.8188797,0.028653,F
Clean,5,-125413.1884717,0.049264,F
Clean,6,-125411.9316988,0.179804,T
Ovac_t1,1,-124848.4445834,0.183215,T
Ovac_t1,2,-124848.1296327,0.042855,F
Ovac_t1,3,-124847.3397779,0.027081,F
Ovac_t1,4,-124847.6000622,0.025158,F
Ovac_t1,5,-124847.6332101,0.033575,F
Ovac_t1,6,-124847.6160559,0.508830,T
Ovac_t2,1,-124848.4445834,0.183215,T
Ovac_t2,2,-124847.6910767,0.049841,F
Ovac_t2,3,-124847.6202368,0.039307,F
Ovac_t2,4,-124847.685886,0.038185,F
Ovac_t2,5,-124847.8123402,0.035732,F
Ovac_t2,6,-124848.1069357,0.275999,T
ZnOvac_t1,1,-121529.1437165,0.231960,T
ZnOvac_t1,2,-121528.2419721,0.032268,F
ZnOvac_t1,3,-121528.0819311,0.025498,F
ZnOvac_t1,4,-121528.3129776,0.033107,F
ZnOvac_t1,5,-121528.1887545,0.031530,F
ZnOvac_t1,6,-121528.3558093,0.340533,T
ZnOvac_t3,1,-121529.1437165,0.231960,T
ZnOvac_t3,2,-121526.567025,0.652276,F
ZnOvac_t3,3,-121526.3021023,0.599193,F
ZnOvac_t3,4,-121525.8652877,0.780700,F
ZnOvac_t3,5,-121526.5293278,0.846992,F
ZnOvac_t3,6,-121527.2360634,0.145653,T
Znvac,1,-122094.2926799,0.329149,T
Znvac,2,-122090.899807,1.396757,F
Znvac,3,-122086.9211506,4.172225,F
Znvac,4,-122086.5868209,5.624407,F
Znvac,5,-122087.3943208,3.343304,F
Znvac,6,-122093.1359027,0.239465,T
